CustomerID,LocationType,CurrentISP,MonthlyInternetSpeed,MonthlyDataUsage,MonthlyBill,ContractType,ComplaintFrequency,CustomerTenure,ServiceOutages,StarlinkAwareness,Churn
CUST0001,Urban,Dialog,38.3,110.8,2646.0,Postpaid,0,94,0.3,Yes,No
CUST0002,Rural,Dialog,28.1,63.5,3097.0,Postpaid,0,55,1.6,No,No
CUST0003,Rural,Mobitel,18.9,133.7,3772.0,Prepaid,1,84,8.9,Yes,Yes
CUST0004,Urban,Dialog,29.6,16.3,3443.0,Prepaid,0,58,4.5,Yes,No
CUST0005,Urban,Dialog,20.4,115.4,4048.0,Postpaid,0,37,5.9,Yes,No
CUST0006,Urban,Airtel,18.1,120.8,2161.0,Postpaid,0,16,10.4,Yes,Yes
CUST0007,Urban,SLT,13.5,159.7,2758.0,Prepaid,2,95,4.6,No,No
CUST0008,Rural,Airtel,7.5,168.7,3384.0,Postpaid,1,93,4.4,No,Yes
CUST0009,Rural,Dialog,21.1,94.8,5398.0,Prepaid,1,70,8.6,No,Yes
CUST0010,Rural,SLT,26.6,112.5,3386.0,Prepaid,0,93,5.0,No,No
CUST0011,Urban,Dialog,24.0,81.7,4585.0,Postpaid,1,96,6.0,No,No
CUST0012,Rural,Dialog,20.8,63.6,3539.0,Postpaid,0,73,8.0,No,No
CUST0013,Rural,Mobitel,15.5,135.5,3016.0,Postpaid,1,37,5.0,No,No
CUST0014,Urban,Dialog,31.1,56.3,3253.0,Prepaid,0,53,7.4,No,No
CUST0015,Urban,SLT,11.8,99.3,3332.0,Prepaid,0,87,4.7,Yes,No
CUST0016,Urban,SLT,32.8,70.2,4104.0,Postpaid,1,16,7.9,Yes,No
CUST0017,Urban,Dialog,15.0,147.5,4875.0,Prepaid,0,18,6.3,No,No
CUST0018,Urban,Airtel,17.5,210.1,3860.0,Postpaid,1,19,4.3,No,No
CUST0019,Urban,Dialog,10.3,54.9,4687.0,Postpaid,1,44,5.2,No,No
CUST0020,Urban,SLT,20.0,27.3,2535.0,Postpaid,0,2,0.0,No,No
CUST0021,Rural,Mobitel,34.8,113.8,3085.0,Prepaid,1,58,8.6,Yes,No
CUST0022,Urban,SLT,30.2,120.8,2776.0,Postpaid,0,10,1.2,Yes,No
CUST0023,Urban,Mobitel,34.8,130.9,3814.0,Prepaid,1,76,1.8,No,No
CUST0024,Urban,Dialog,30.2,97.7,3141.0,Prepaid,0,46,3.7,Yes,Yes
CUST0025,Urban,SLT,14.0,110.0,4230.0,Prepaid,1,82,0.0,No,No
CUST0026,Rural,Dialog,21.7,138.4,2569.0,Prepaid,2,19,6.4,No,No
CUST0027,Urban,Airtel,17.2,172.0,3543.0,Postpaid,1,38,6.1,No,No
CUST0028,Urban,Mobitel,38.3,22.2,4187.0,Prepaid,0,37,3.5,Yes,No
CUST0029,Urban,Dialog,13.0,101.6,1435.0,Prepaid,2,91,3.0,No,Yes
CUST0030,Urban,SLT,33.9,130.7,5622.0,Postpaid,0,112,2.9,No,No
CUST0031,Rural,Dialog,33.9,74.1,3217.0,Prepaid,0,78,6.8,No,Yes
CUST0032,Urban,SLT,43.3,206.6,1475.0,Postpaid,3,45,0.2,No,No
CUST0033,Urban,SLT,20.9,88.2,3658.0,Prepaid,1,117,3.8,No,No
CUST0034,Rural,Mobitel,32.1,117.9,3533.0,Prepaid,1,34,0.4,Yes,No
CUST0035,Rural,SLT,47.8,147.8,3418.0,Postpaid,1,2,7.3,No,No
CUST0036,Rural,Dialog,18.8,90.4,4491.0,Prepaid,1,44,4.0,No,No
CUST0037,Urban,Dialog,9.6,27.7,4247.0,Postpaid,2,97,6.6,Yes,Yes
CUST0038,Urban,Dialog,6.2,98.6,3798.0,Prepaid,1,83,8.7,Yes,Yes
CUST0039,Rural,Dialog,32.1,171.5,3950.0,Prepaid,1,27,8.8,Yes,No
CUST0040,Urban,Dialog,6.2,103.2,3396.0,Prepaid,0,48,1.9,No,Yes
CUST0041,Urban,Airtel,21.3,77.7,5275.0,Prepaid,1,94,5.9,No,Yes
CUST0042,Urban,SLT,29.4,166.3,2021.0,Prepaid,1,7,8.4,Yes,No
CUST0043,Urban,SLT,26.9,103.5,3640.0,Postpaid,1,27,7.1,No,No
CUST0044,Rural,Dialog,29.3,94.5,3565.0,Prepaid,0,85,7.4,No,No
CUST0045,Urban,Airtel,27.2,127.5,4313.0,Prepaid,1,71,0.0,Yes,Yes
CUST0046,Rural,Airtel,37.8,158.5,2656.0,Prepaid,2,112,7.0,Yes,Yes
CUST0047,Urban,Dialog,15.5,239.1,1756.0,Postpaid,2,89,2.6,Yes,No
CUST0048,Urban,Airtel,18.2,161.4,3657.0,Postpaid,2,102,7.0,No,No
CUST0049,Urban,SLT,17.3,178.0,3781.0,Postpaid,0,18,6.9,Yes,No
CUST0050,Urban,Dialog,33.3,94.7,4990.0,Postpaid,0,33,6.8,No,No
CUST0051,Rural,SLT,34.0,68.7,2230.0,Prepaid,0,33,4.7,No,Yes
CUST0052,Rural,SLT,29.5,123.1,4655.0,Prepaid,2,96,8.9,No,Yes
CUST0053,Rural,Dialog,36.8,125.4,5867.0,Postpaid,2,25,6.5,Yes,No
CUST0054,Rural,Mobitel,13.2,66.1,3122.0,Postpaid,3,14,6.0,No,Yes
CUST0055,Urban,Airtel,41.7,111.2,2209.0,Prepaid,1,38,2.2,No,No
CUST0056,Rural,SLT,40.2,140.0,3093.0,Prepaid,2,38,6.2,Yes,Yes
CUST0057,Urban,SLT,32.4,138.0,3514.0,Postpaid,2,4,10.9,Yes,No
CUST0058,Urban,SLT,42.8,145.2,4064.0,Postpaid,1,108,0.8,No,No
CUST0059,Urban,SLT,8.4,134.5,2909.0,Prepaid,1,62,7.2,No,No
CUST0060,Urban,SLT,19.8,94.6,5055.0,Postpaid,1,82,7.6,Yes,Yes
CUST0061,Urban,Dialog,17.6,94.3,2385.0,Prepaid,0,10,10.2,No,No
CUST0062,Urban,SLT,32.2,60.1,1761.0,Prepaid,0,35,7.2,No,No
CUST0063,Rural,Airtel,14.5,209.2,4607.0,Prepaid,3,99,5.0,No,Yes
CUST0064,Urban,SLT,32.6,120.7,1225.0,Prepaid,1,104,6.3,Yes,No
CUST0065,Urban,Dialog,38.7,108.8,3296.0,Prepaid,1,118,4.2,No,No
CUST0066,Urban,Airtel,32.0,73.6,6618.0,Postpaid,2,23,8.7,Yes,No
CUST0067,Urban,Dialog,27.8,266.8,3488.0,Prepaid,0,89,0.4,No,No
CUST0068,Rural,Dialog,15.1,66.3,2379.0,Postpaid,1,65,3.5,No,No
CUST0069,Urban,Dialog,16.5,98.6,3443.0,Prepaid,0,82,6.3,Yes,Yes
CUST0070,Rural,Dialog,37.5,140.8,3449.0,Prepaid,0,79,8.5,No,Yes
CUST0071,Rural,Airtel,32.8,150.0,3661.0,Postpaid,2,25,5.0,Yes,No
CUST0072,Urban,SLT,24.6,167.9,4162.0,Postpaid,0,96,2.7,No,No
CUST0073,Urban,Dialog,20.8,210.4,2461.0,Postpaid,1,53,4.4,Yes,No
CUST0074,Rural,Airtel,4.7,145.3,5188.0,Postpaid,0,84,3.9,No,No
CUST0075,Rural,Airtel,14.3,67.2,3745.0,Prepaid,0,17,4.0,Yes,Yes
CUST0076,Rural,Airtel,44.1,107.2,4227.0,Prepaid,4,57,3.7,No,No
CUST0077,Rural,Dialog,12.2,135.4,2872.0,Postpaid,0,75,3.7,No,No
CUST0078,Urban,SLT,26.9,223.4,4786.0,Postpaid,0,77,0.0,No,No
CUST0079,Urban,Mobitel,35.1,50.1,3243.0,Postpaid,0,89,5.9,Yes,No
CUST0080,Urban,Airtel,12.5,180.1,3778.0,Postpaid,3,20,7.0,No,No
CUST0081,Rural,Dialog,26.8,129.0,2567.0,Postpaid,2,25,9.5,Yes,Yes
CUST0082,Rural,Dialog,34.4,161.9,2503.0,Prepaid,1,42,7.6,No,No
CUST0083,Urban,SLT,25.1,114.9,4188.0,Postpaid,0,45,7.4,No,No
CUST0084,Urban,Mobitel,53.7,77.9,3056.0,Postpaid,2,113,5.9,No,No
CUST0085,Urban,SLT,8.3,157.5,2646.0,Postpaid,0,31,0.0,No,No
CUST0086,Urban,SLT,35.6,152.7,2857.0,Prepaid,3,117,5.8,Yes,No
CUST0087,Rural,Dialog,23.3,168.6,4199.0,Prepaid,0,65,5.3,No,No
CUST0088,Rural,SLT,32.7,119.3,2871.0,Prepaid,0,52,8.1,Yes,No
CUST0089,Rural,Airtel,29.4,90.0,3382.0,Prepaid,0,80,6.7,No,Yes
CUST0090,Urban,Dialog,17.7,42.1,3515.0,Postpaid,0,112,4.6,No,No
CUST0091,Urban,Airtel,27.3,161.0,1583.0,Prepaid,0,92,10.9,No,No
CUST0092,Rural,Mobitel,6.4,141.2,2029.0,Prepaid,1,21,7.5,No,Yes
CUST0093,Rural,Dialog,31.0,71.7,3836.0,Prepaid,1,30,6.0,Yes,No
CUST0094,Urban,SLT,28.0,93.1,2763.0,Postpaid,1,3,6.4,No,Yes
CUST0095,Rural,Dialog,31.4,96.7,4557.0,Postpaid,1,98,5.2,Yes,Yes
